generation,best_fitness,avg_fitness,species_count
1,165.46666666666667,78.8,1
2,98.80000000000001,58.8,1
3,165.46666666666667,72.13333333333333,1
4,132.13333333333335,78.80000000000003,1
5,165.46666666666667,112.13333333333335,1
6,165.46666666666667,98.80000000000001,1
7,132.13333333333335,132.13333333333335,1
8,198.79999999999998,145.46666666666664,1
9,98.80000000000001,72.13333333333335,1
10,365.46666666666664,218.8,1
11,965.4666666666667,518.8,1
12,1698.8000000000002,912.1333333333334,1
13,832.1333333333336,518.8000000000001,1
14,1098.8000000000002,518.8,1
15,298.79999999999995,232.1333333333333,1
16,1698.8000000000002,932.1333333333334,1
17,1132.1333333333334,912.1333333333334,1
18,865.4666666666667,638.8,1
19,1332.1333333333334,585.4666666666668,1
20,1798.8000000000002,972.1333333333334,1
21,1265.466666666667,865.4666666666666,1
22,465.46666666666664,438.7999999999999,1
23,1332.1333333333334,1285.4666666666667,1
24,1765.466666666667,1512.1333333333334,1
25,1265.466666666667,1112.1333333333334,1
26,865.4666666666667,685.4666666666666,1
27,1665.466666666667,1258.8000000000002,1
28,1098.8000000000002,752.1333333333334,1
29,1098.8,705.4666666666666,1
30,1232.1333333333334,752.1333333333333,1
31,865.4666666666668,478.8,1
32,1198.8000000000002,672.1333333333334,1
33,565.4666666666666,405.4666666666666,1
34,932.1333333333333,658.8,1
35,1298.8000000000002,1018.8000000000002,1
36,1032.1333333333334,652.1333333333334,1
37,832.1333333333333,498.8,1
38,2465.4666666666667,1832.1333333333337,1
39,1232.1333333333334,952.1333333333334,1
40,3165.4666666666667,1338.8,1
41,1098.8000000000002,898.8000000000002,1
42,965.4666666666667,678.8,1
43,2465.4666666666667,2172.1333333333337,1
44,1932.1333333333334,1152.1333333333334,1
45,1332.1333333333334,1025.4666666666667,1
46,1398.8000000000002,1125.466666666667,1
47,1632.1333333333334,545.4666666666667,1
48,2898.7999999999997,952.1333333333332,1
49,1732.1333333333334,745.4666666666668,1
50,1998.8000000000002,1205.4666666666667,1
51,2132.1333333333337,1205.4666666666667,1
52,2732.133333333333,1272.1333333333334,1
53,2565.4666666666667,1212.1333333333332,1
54,1798.8000000000002,1112.1333333333334,1
55,1032.1333333333334,898.8,1
56,1765.466666666667,1512.1333333333337,1
57,1632.1333333333334,1072.1333333333334,1
58,2165.4666666666667,1585.466666666667,1
59,3998.7999999999993,1912.1333333333332,1
60,1465.466666666667,845.4666666666666,1
61,1798.8000000000002,1258.8000000000002,1
62,1398.8000000000002,1298.8000000000004,1
63,1698.8000000000002,1498.8000000000002,1
64,898.8000000000001,698.8,1
65,1032.1333333333334,958.8000000000002,1
66,1898.8000000000002,1572.1333333333334,1
67,1165.466666666667,965.4666666666668,1
68,1332.1333333333334,1172.1333333333334,1
69,465.46666666666664,465.4666666666666,1
70,1865.466666666667,1752.1333333333337,1
71,1132.1333333333334,845.4666666666668,1
72,1498.8000000000002,1318.8000000000002,1
73,2565.4666666666667,2385.4666666666667,1
74,832.1333333333333,832.1333333333334,1
75,1198.8000000000002,1025.4666666666667,1
76,1932.1333333333334,1425.4666666666667,1
77,798.8000000000002,798.8000000000002,1
78,765.4666666666667,645.4666666666667,1
79,2332.1333333333337,1425.4666666666667,1
80,1532.1333333333334,1212.1333333333334,1
81,1732.1333333333334,1585.4666666666667,1
82,898.8000000000001,732.1333333333333,1
83,2932.133333333333,1712.1333333333337,1
84,832.1333333333333,738.8,1
85,932.1333333333333,845.4666666666668,1
86,1332.1333333333334,685.4666666666668,1
87,1232.1333333333334,905.4666666666668,1
88,1232.1333333333334,965.4666666666668,1
89,1032.1333333333334,818.8,1
90,2298.8,1765.4666666666672,1
91,1465.466666666667,1252.1333333333337,1
92,1265.466666666667,1045.466666666667,1
93,965.4666666666667,925.4666666666668,1
94,765.4666666666667,552.1333333333334,1
95,765.4666666666667,372.1333333333333,1
96,698.8000000000001,458.8,1
97,1998.8000000000002,1172.1333333333337,1
98,898.8000000000001,765.4666666666668,1
99,1632.1333333333334,1278.8000000000002,1
100,932.1333333333333,712.1333333333333,1
